song_id,song_name,popularity,explicit,song_type,artist_ids,artist_names,genres,primary_genre,release_year,acousticness,instrumentalness,loudness,speechiness,valence,tempo
3EikYy40GMSp8l5mDV6IQo,Foot Fungus,72,True,Solo,['2rhFzFmezpnW82MNqEKVry'],['Ski Mask The Slump God'],{'hip hop': 1},hip hop,2018,0.257,1.5e-06,-9.662,0.119,0.745,88.953
39RWYLt6hgk9BbhkDgaHW9,Crush A Lot,59,True,Solo,['5f7VJjfbwm532GiveGC0ZK'],['Lil Baby'],{'hip hop': 1},hip hop,2018,0.0171,0.0,-5.643,0.315,0.403,132.992
0jqLv5PuEUA0GthFjdtlS1,Oodles O' Noodles Babies,55,True,Solo,['20sxb77xiYeusSH8cVdatc'],['Meek Mill'],{'hip hop': 1},hip hop,2018,0.593,0.0,-3.442,0.264,0.584,72.099
7cW1wHpSLYgKWzoWlOCPFJ,Global,60,True,Solo,['5f7VJjfbwm532GiveGC0ZK'],['Lil Baby'],{'hip hop': 1},hip hop,2018,0.106,0.0,-6.504,0.441,0.313,163.827
52i143Ph5c3RQaQFBXWix1,Word On The Street,58,True,Solo,['5f7VJjfbwm532GiveGC0ZK'],['Lil Baby'],{'hip hop': 1},hip hop,2018,0.0562,0.0,-9.275,0.0934,0.173,99.965
2G7V7zsVDxg1yRsu7Ew9RJ,In My Feelings,82,True,Solo,['3TVXtAsR1Inumwj472S9r4'],['Drake'],{'hip hop': 1},hip hop,2018,0.0589,6e-05,-5.833,0.125,0.35,91.03
2Kpc6hdJqHCG2tt0JW9pyl,Lose It,70,False,Solo,['3oSJ7TBVCWMDMiYjXNiCKE'],['Kane Brown'],{'country': 1},country,2019,0.00245,1.2e-06,-4.968,0.0289,0.436,91.966
42fw0rxRO2xbesF6mJfd4Y,Tequila,73,False,Solo,['7z5WFjZAIYejWy0NI5lv4T'],['Dan + Shay'],{'country': 1},country,2018,0.0312,0.0,-5.731,0.0281,0.494,86.016
0TlLq3lA83rQOYtrqBqSct,Nonstop,81,True,Solo,['3TVXtAsR1Inumwj472S9r4'],['Drake'],{'hip hop': 1},hip hop,2018,0.0164,0.013,-8.074,0.124,0.422,154.983
0At2qAoaVjIwWNAqrscXli,Boo'd Up,74,False,Solo,['7HkdQ0gt53LP4zmHsL0nap'],['Ella Mai'],{'pop': 1},pop,2017,0.0862,0.0,-5.107,0.0531,0.235,81.965
5aXgz1oKK8Q9z9xvTmSnrO,Topanga,75,True,Solo,['6Xgp2XMz1fhVYe7i6yNAax'],['Trippie Redd'],{'hip hop': 1},hip hop,2018,0.00587,1.75e-06,-8.245,0.0454,0.039,105.955
7wC5eZcFS1Q1BsQ35DU6H4,come out and play,75,False,Solo,['6qqNVTkY8uBg9cP3Jd7DAH'],['Billie Eilish'],{'pop': 1},pop,2018,0.693,0.0307,-14.604,0.0931,0.177,145.045
04ZTP5KsCypmtCmQg5tH9R,I'm a Mess,80,False,Solo,['64M6ah0SkkRsnPGtGiRAbb'],['Bebe Rexha'],{'pop': 1},pop,2018,0.00281,0.0,-6.257,0.0253,0.216,97.005
6CyJlVAEFlNdpggOLanytL,Hangin' On,66,False,Solo,['4BYxqVkZyFjtik7crYLg5Q'],['Chris Young'],{'country': 1},country,2017,0.0651,0.0,-4.774,0.0453,0.596,156.034
4H0vNUFcHPz5lytcLjwqkr,Rich,61,False,Solo,['6WY7D3jk8zTrHtmkqqo5GI'],['Maren Morris'],{'country': 1},country,2017,0.0445,0.0,-4.189,0.0557,0.852,74.98
2oPCR02nduYVpj7CTfsA0d,Blue Tacoma,72,False,Solo,['1E2AEtxaFaJtH0lO7kgNKw'],['Russell Dickerson'],{'country': 1},country,2017,0.0183,0.0,-4.879,0.0403,0.728,160.139
7hDVYcQq6MxkdJGweuCtl9,ocean eyes,82,False,Solo,['6qqNVTkY8uBg9cP3Jd7DAH'],['Billie Eilish'],{'pop': 1},pop,2017,0.816,0.0317,-7.65,0.041,0.169,144.892
7zLYKWcXnYeHHWidalz7rj,Noticed,80,True,Solo,['5zctI4wO9XSKS8XwcnqEHk'],['Lil Mosey'],{'hip hop': 1},hip hop,2018,0.462,0.0,-7.622,0.0603,0.493,79.992
1wjzFQodRWrPcQ0AnYnvQ9,I Like Me Better,82,False,Solo,['5JZ7CnR6gTvEMKX4g70Amv'],['Lauv'],{'pop': 1},pop,2017,0.535,2.55e-06,-7.621,0.253,0.419,91.97
3ee8Jmje8o58CHK66QrVC2,SAD!,84,True,Solo,['15UsOTVnJzReFVN1VCnxy4'],['XXXTENTACION'],{'hip hop': 1},hip hop,2018,0.258,0.00372,-4.88,0.145,0.473,75.023
3z8h0TU7ReDPLIbEnYhWZb,Bohemian Rhapsody,72,False,Solo,['1dfeR4HaWDbWqFHLkxsg1d'],['Queen'],{'rock': 1},rock,2018,0.287,0.0,-9.963,0.0513,0.246,144.031
1XJBDDpeuZaj5fvmwhdIMw,Take One,58,True,Solo,['46SHBwWsqBkxI7EeeBEQG7'],['Kodak Black'],{'hip hop': 1},hip hop,2018,0.114,0.0,-7.2,0.47,0.501,174.034
